#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
9.4	0.00157573392770005	-0.223904232535156	-0.20133712776336	0.162468373373371
9.5	0.00144119002710396	-0.218164391903508	-0.208109764773257	0.165278225421456
9.6	0.00131798809179161	-0.212510328338554	-0.214675439319707	0.167841095630596
9.7	0.00120518744289579	-0.206944479110762	-0.2210323297192	0.170156834927495
9.8	0.00110192376589372	-0.201468978485903	-0.227179000790062	0.172225688165578
9.9	0.00100740309133017	-0.196085674724273	-0.233114386256195	0.174048277094154
10	0.000920896229986655	-0.19079614647176	-0.238837771461839	0.175625583490537
10.1	0.000841733630474847	-0.185601718545567	-0.244348776417742	0.176958932481976
10.2	0.000769300629221671	-0.180503477119452	-0.249647339196325	0.178049976081742
10.3	0.000703033064705335	-0.175502284314941	-0.254733699691143	0.178900676961328
10.4	0.000642413229595781	-0.170598792206545	-0.259608383753536	0.179513292478616
10.5	0.000586966136196931	-0.165793456250333	-0.264272187717415	0.179890358979819
10.6	0.000536256072187184	-0.161086548146257	-0.268726163321035	0.180034676390985
10.7	0.000489883425203148	-0.156478168145647	-0.272971603032956	0.179949293113137
10.8	0.000447481756287281	-0.151968256816128	-0.277010025787679	0.179637491233404
10.9	0.000408715103560098	-0.147556606276788	-0.280843163134912	0.179102772062849
11	0.000373275498793347	-0.143242870917127	-0.284472945805113	0.178348842010307
11.1	0.000340880680772097	-0.139026577613622	-0.287901490692576	0.177379598800066
11.2	0.000311271990462837	-0.134907135458193	-0.29113108825625	0.176199118039978
11.3	0.000284212434085754	-0.130883845013055	-0.294164190337338	0.17481164014534
11.4	0.000259484901188442	-0.126955907106647	-0.297003398391851	0.17322155762278
11.5	0.000236890525746021	-0.12312243118538	-0.299651452135299	0.171433402717318
11.6	0.000216247179202463	-0.119382443236095	-0.302111218595974	0.169451835424754
11.7	0.000197388085170283	-0.115734893293954	-0.304385681572587	0.167281631870716
11.8	0.000180160546278093	-0.112178662550536	-0.306477931491275	0.164927673056741
11.9	0.000164424774357525	-0.108712570076731	-0.308391155656506	0.162394933973087
12	0.000150052815828194	-0.105335379174916	-0.31012862888989	0.159688473077194
12.1	0.000136927564749485	-0.102045803374626	-0.311693704550334	0.156813422136036
12.2	0.000124941856586496	-0.0988425120858229	-0.31308980592879	0.153774976430047
12.3	0.00011399763624752	-0.0957241359235003	-0.314320418010269	0.150578385315706
12.4	0.000104005194481907	-0.092689271717191	-0.315389079595631	0.147228943143343
12.5	9.48824671379692E-05	-0.0897364872185904	-0.316299375775367	0.143731980526302
12.6	8.65543922428701E-05	-0.0868643255202185	-0.317054930747363	0.140092855957101
12.7	7.89523202381587E-05	-0.0840713091977509	-0.317659400970437	0.136316947765945
12.8	7.20134730730122E-05	-0.0813559441882847	-0.318116468645366	0.132409646416461
12.9	6.56804481957892E-05	-0.078716723416484	-0.318429835514905	0.128376347133354
13	5.99007637969436E-05	-0.0761521301801936	-0.318603216974277	0.124222442856285
13.1	5.46264419367878E-05	-0.0736606413067967	-0.31864033648359	0.119953317514108
13.2	4.98136264723029E-05	-0.0712407300911982	-0.318544920273498	0.115574339613302
13.3	4.54222329288847E-05	-0.0688908690259744	-0.318320692335507	0.111090856134335
13.4	4.14156276910795E-05	-0.0666095323339035	-0.317971369688348	0.106508186729437
13.5	3.77603341156501E-05	-0.0643951983127293	-0.317500657911733	0.101831618215185
13.6	3.44257633282514E-05	-0.0622463515016184	-0.316912246939073	0.0970663993531479
13.7	3.13839676837444E-05	-0.0601614846785139	-0.316209807100594	0.09221773591175
13.8	2.86094150045192E-05	-0.0581391006971735	-0.315396985408515	0.0872907860024375
13.9	2.60787818737828E-05	-0.0561777141723783	-0.31447740207596	0.0822906556831596
14	2.37707644048756E-05	-0.054275853021473	-0.313454647261413	0.0772223948221557
14.1	2.16659050284186E-05	-0.0524320598700541	-0.31233227803063	0.0720909932149872
