#r (a.u)	f1(r)	f2(r)	f3(r)	f4(r)
14.4	1.60528426349604E-05	-0.0471323304664257	0.308349883363318	0.0558715476602239
14.5	1.46260822144688E-05	-0.0455090770596618	0.306860643852976	0.0510058691612748
14.6	1.33254969942796E-05	-0.0439368269372721	0.305289100610582	0.0461017105231324
14.7	1.21399932826674E-05	-0.0424142332341492	0.303638559146294	0.041163206367281
14.8	1.10594461644604E-05	-0.0409399705070277	0.30191227595603	0.036194418635028
14.9	1.00746155820361E-05	-0.0395127352944582	0.300113456953122	0.0311993346750212
15	9.17706961505477E-06	-0.0381312465982328	0.298245256050903	0.0261818655037601
15.1	8.35911434879322E-06	-0.036794246291273	0.296310773889636	0.0211458442330103
15.2	7.61372977187596E-06	-0.0355004994567553	0.294313056701365	0.0160950246581161
15.3	6.93451119096307E-06	-0.0342487946630176	0.292255095306436	0.0110330800012919
15.4	6.31561569288473E-06	-0.0330379441785705	0.290139824235611	0.00596360180407081
15.5	5.75171322410953E-06	-0.031866784131322	0.287970120971853	0.000890098963170554
15.6	5.23794189358646E-06	-0.0307341746159191	0.285748805306059	-0.00418400309584774
15.7	4.76986713816654E-06	-0.0296389997529131	0.283478638801143	-0.00925536311265781
15.8	4.34344442023161E-06	-0.0285801677032614	0.281162324359089	-0.0143207245594061
15.9	3.95498515505713E-06	-0.027556610641501	0.278802505885715	-0.0193769160864293
16	3.60112559101629E-06	-0.0265672846907469	0.276401768048091	-0.0244208518516456
16.1	3.27879838918464E-06	-0.0256111698225063	0.273962636119691	-0.0294495317387193
16.2	2.98520667039943E-06	-0.0246872697241328	0.271487575908532	-0.0344600414689791
16.3	2.71780031752786E-06	-0.0237946116365919	0.268978993763719	-0.0394495526119462
16.4	2.47425433874891E-06	-0.022932246165063	0.266439236655949	-0.0444153224992341
16.5	2.25244911419051E-06	-0.0220992470647562	0.263870592327716	-0.0493546940464333
16.6	2.05045236341268E-06	-0.0212947110041904	0.261275289509065	-0.0542650954875248
16.7	1.8665026851011E-06	-0.0205177573080496	0.258655498194947	-0.0591440400261926
16.8	1.69899453304073E-06	-0.0197675276816071	0.256013329980321	-0.0639891254083422
16.9	1.54646450407268E-06	-0.0190431859185922	0.253350838449325	-0.0687980334199817
17	1.40757882438696E-06	-0.0183439175942601	0.250670019614971	-0.0735685293145131
17.1	1.28112193025297E-06	-0.0176689297453191	0.247972812405945	-0.0782984611733874
17.2	1.16598604821174E-06	-0.0170174505382638	0.245261099197245	-0.0829857592039215
17.3	1.06116168791899E-06	-0.0163887289275697	0.242536706381504	-0.0876284349780075
17.4	9.6572896829978E-07	-0.0157820343051094	0.239801404977989	-0.0922245806152967
17.5	8.78849704510394E-07	-0.0151966561420615	0.237056911276369	-0.0967723679143496
17.6	7.99760189456397E-07	-0.0146319036245022	0.234304887512497	-0.101270047435123
17.7	7.27764609335199E-07	-0.0140871052837872	0.231546942573536	-0.105715947536067
17.8	6.62229037902192E-07	-0.0135616086227581	0.228784632729906	-0.110108473368979
17.9	6.02575958943204E-07	-0.0130547797387339	0.226019462391608	-0.114446105834681
18	5.48279270809655E-07	-0.0125660029441816	0.22325288488662	-0.118727400502465
18.1	4.98859730871835E-07	-0.0120946803858947	0.220486303259141	-0.122950986496143
18.2	4.53880801401336E-07	-0.0116402316634479	0.217721071085583	-0.127115565349469
18.3	4.12944861735176E-07	-0.0112020934476381	0.214958493306283	-0.131219909833554
18.4	3.75689754628392E-07	-0.0107797190995675	0.212199827071034	-0.135262862758853
18.5	3.41785637492912E-07	-0.0103725782909727	0.209446282596607	-0.139243335754146
18.6	3.10932111771135E-07	-0.00998015662635602	0.206699024034519	-0.143160308024906
18.7	2.82855606023116E-07	-0.00960195526742735	0.203959170347419	-0.1470128250933
18.8	2.57306990435396E-07	-0.0092374905603238	0.201227796192518	-0.15079999752202
18.9	2.340594024047E-07	-0.00888629366603155	0.198505932810583	-0.154520999624019
19	2.12906264626416E-07	-0.00854791019439712	0.195794568919098	-0.158175068160178
19.1	1.93659478740711E-07	-0.00822189984207845	0.193094651608257	-0.161761501026815
19.2	1.76147779071264E-07	-0.00790783603475258	0.190407087238541	-0.165279655934879
19.3	1.60215232345151E-07	-0.00760530557386421	0.187732742338697	-0.168728949082594
19.4	1.45719870518406E-07	-0.00731390828816987	0.185072444502994	-0.172108853823236
19.5	1.32532444960308E-07	-0.00703325669030419	0.182426983286721	-0.175418899329652
19.6	1.20535291279795E-07	-0.00676297563856812	0.17979711109892	-0.178658669257052
19.7	1.09621295018025E-07	-0.00650270200411472	0.177183544091446	-0.181827800405543
19.8	9.96929492897558E-08	-0.00625208434368457	0.174586963043474	-0.184925981383788
19.9	9.06614962399735E-08	-0.00601078257802163	0.172008014240639	-0.18795295127513
20	8.24461448975423E-08	-0.00577846767608028	0.169447310348063	-0.190908498307422
20.1	7.49733586604912E-08	-0.00555482134511513	0.166905431276535	-0.193792458527772
20.2	6.81762062433445E-08	-0.00533953572672825	0.164382925041216	-0.196604714483331
20.3	6.19937704605403E-08	-0.00513231309893177	0.161880308612238	-0.199345193909186
20.4	5.63706097160451E-08	-0.00493286558426914	0.159398068756624	-0.202013868424391
20.5	5.12562675218564E-08	-0.00474091486402404	0.156936662871039	-0.204610752237074
20.6	4.66048257809913E-08	-0.00455619189853318	0.154496519804846	-0.207135900859532
20.7	4.23744979472397E-08	-0.00437843665360726	0.152078040673061	-0.20958940983416
20.8	3.85272585175619E-08	-0.00420739783305325	0.149681599658786	-0.211971413471003
20.9	3.50285056264241E-08	-0.00404283261728111	0.147307544804756	-0.214282083597697
21	3.184675379723E-08	-0.00388450640796872	0.144956198793662	-0.216521628322472
21.1	2.89533541667063E-08	-0.00373219257875008	0.14262785971696	-0.218690290810891
21.2	2.63222397358713E-08	-0.0035856722318844	0.140322801831885	-0.220788348076916
21.3	2.39296934180177E-08	-0.00344473396085613	0.138041276306437	-0.22281610978888
21.4	2.17541368518533E-08	-0.00330917361884976	0.135783511952127	-0.224773917090871
21.5	1.9775938128205E-08	-0.00317879409303742	0.133549715944298	-0.22666214144002
21.6	1.79772367430483E-08	-0.00305340508461173	0.131340074529864	-0.228481183460135
21.7	1.63417842394732E-08	-0.00293282289449185	0.12915475372233	-0.230231471812081
21.8	1.48547991377943E-08	-0.00281687021462633	0.126993899983983	-0.231913462081273
21.9	1.35028348775474E-08	-0.00270537592481248	0.124857640895169	-0.23352763568264
22	1.22736596086233E-08	-0.00259817489494891	0.122746085810579	-0.235074498783318
22.1	1.11561467722558E-08	-0.00249510779263449	0.120659326502502	-0.236554581243389
22.2	1.01401755068854E-08	-0.002396020896025	0.118597437791012	-0.237968435574868
22.3	9.21653999986581E-09	-0.00230076591185613	0.116560478161073	-0.239316635919171
22.4	8.37686698431225E-09	-0.00220919979853972	0.114548490366567	-0.240599777043228
22.5	7.61354065176809E-09	-0.00212118459423877	0.112561502021273	-0.241818473354414
22.6	6.91963431641523E-09	-0.0020365872498253	0.110599526176805	-0.242973357934409
22.7	6.28884822582445E-09	-0.00195527946662421	0.108662561887588	-0.244065081592097
22.8	5.71545296724717E-09	-0.00187713753884564	0.106750594762904	-0.245094311935591
22.9	5.19423796765738E-09	-0.00180204220060777	0.104863597506095	-0.246061732463431
23	4.72046463058287E-09	-0.00172987847745156	0.103001530441002	-0.246968041675001
23.1	4.28982369360696E-09	-0.00166053554224929	0.101164342025727	-0.247813952200169
23.2	3.89839642763052E-09	-0.00159390657540826	0.099351969353831	-0.248600189948163
23.3	3.54261933287703E-09	-0.00152988862927172	0.0975643386430705	-0.249327493275642
23.4	3.21925201749899E-09	-0.0014683824966194	0.0958013657117963	-0.249996612173938
23.5	2.92534797276666E-09	-0.00140929258317044	0.0940629564431427	-0.250608307475402
23.6	2.65822798443506E-09	-0.00135252678399231	0.092349007237139	-0.251163350078786
23.7	2.41545594321591E-09	-0.00129799636372016	0.0906594054508879	-0.251662520193578
23.8	2.19481683852871E-09	-0.00124561584049188	0.0889940298269543	-0.252106606603172
23.9	1.99429673905649E-09	-0.00119530287350506	0.0873527509101198	-0.252496405946786
24	1.81206458125397E-09	-0.00114697815410337	0.0857354314526596	-0.252832722019969
24.1	1.64645560300382E-09	-0.00110056530030084	0.0841419268083026	-0.253116365093579
24.2	1.49595627422963E-09	-0.00105599075465384	0.0825720853150416	-0.253348151251077
24.3	1.35919058958049E-09	-0.00101318368539185	0.081025748666964	-0.253528901743967
24.4	1.2349076004178E-09	-0.000972075890719493	0.0795027522752727	-0.253659442365224
24.5	1.12197007436632E-09	-0.000932601706203698	0.0780029256186764	-0.253740602840517
24.6	1.01934418073468E-09	-0.000894697915161182	0.0765260925833234	-0.253773216237051
24.7	9.26090109254992E-10	-0.000858303661963189	0.0750720717924616	-0.253758118389819
24.8	8.41353537915296E-10	-0.00082336036817564	0.0736406769260048	-0.253696147345063
24.9	7.64357873236981E-10	-0.000789811651454585	0.0722317170301882	-0.253588142820748
25	6.94397193248201E-10	-0.000757603247118316	0.070844996817498	-0.2534349456838
25.1	6.30829829683839E-10	-0.000726682932319075	0.0694803169570586	-0.253237397443922
25.2	5.73072531659042E-10	-0.000697000452738918	0.068137474355665	-0.252996339763725
25.3	5.20595158266293E-10	-0.000668507451735817	0.0668162624296431	-0.252712613984965
25.4	4.72915852281874E-10	-0.000641157401867746	0.0655164713677261	-0.252387060670641
25.5	4.29596651477901E-10	-0.000614905538724044	0.064237888385132	-0.252020519162707
25.6	3.9023949795906E-10	-0.000589708796994962	0.0629802979690268	-0.251613827155154
25.7	3.54482609513569E-10	-0.000565525748711889	0.0617434821155581	-0.251167820282223
25.8	3.2199718021702E-10	-0.000542316543592331	0.0605272205586447	-0.250683331721488
